"mutator","instance","repl","HV","EPS","IGD","class","no","jobid"
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_1.graph",1,0.00253070029870561,0.00724637681159424,0.00305778062064482,"CLASS2",1,1711
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_10.graph",1,0.0105126961022157,0.0148148148148148,0.00719765961591763,"CLASS2",10,1441
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_10.graph",1,0.131845382500404,0.103703703703704,0.0774796371302727,"CLASS2",10,1431
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_10.graph",1,0.055992236778263,0.0518518518518518,0.0355476333909534,"CLASS2",10,1421
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_10.graph",1,0.00260391395762571,0.0131004366812228,0.0036278948865021,"CLASS2",10,1401
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_10.graph",1,0.00155264434740421,0.00740740740740753,0.00271525498769329,"CLASS2",10,1411
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_2.graph",1,0.0126155107704923,0.017094017094017,0.00873985868295609,"CLASS2",2,1191
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_2.graph",1,0.143596051345129,0.103321033210332,0.0856149935881028,"CLASS2",2,1181
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_2.graph",1,0.0709937868609455,0.0590405904059041,0.0394247583616046,"CLASS2",2,1171
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_2.graph",1,0.00111962658088094,0.00427350427350448,0.00198108014183154,"CLASS2",2,1151
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_2.graph",1,0.00132462863090155,0.00738007380073813,0.00229120012693305,"CLASS2",2,1161
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_3.graph",1,0.0101386938202249,0.0149812734082397,0.00735790105161499,"CLASS2",3,1691
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_3.graph",1,0.14672577247191,0.09765625,0.0953094112454047,"CLASS2",3,1681
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_3.graph",1,0.0611101357677901,0.0411985018726593,0.0372854516207796,"CLASS2",3,1671
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_3.graph",1,0.00159468632958804,0.00749063670411987,0.0023406119520684,"CLASS2",3,1651
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_3.graph",1,0.00330641385767794,0.0078125,0.00318520907087855,"CLASS2",3,1661
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_4.graph",1,0.00817868559804047,0.0138248847926268,0.00777347905019142,"CLASS2",4,1541
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_4.graph",1,0.144019595632499,0.133640552995392,0.084573695843023,"CLASS2",4,1531
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_4.graph",1,0.0755386723128658,0.0829493087557605,0.0453021684280411,"CLASS2",4,1521
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_4.graph",1,0.00259476065927655,0.00921658986175111,0.0032949527223208,"CLASS2",4,1501
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_4.graph",1,0.00147382405446916,0.00900900900900892,0.00218190307316,"CLASS2",4,1511
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_5.graph",1,0.0146951107855704,0.015748031496063,0.0104924309972298,"CLASS2",5,1841
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_5.graph",1,0.130516388939755,0.094488188976378,0.0819147731491381,"CLASS2",5,1831
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_5.graph",1,0.079106390770921,0.058139534883721,0.0443899212805388,"CLASS2",5,1821
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_5.graph",1,0.00294512604529062,0.00775193798449614,0.00311245634025664,"CLASS2",5,1801
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_5.graph",1,0.00280778856131347,0.00787401574803148,0.00338821228111773,"CLASS2",5,1811
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_6.graph",1,0.0142453496585827,0.0161290322580645,0.0097581973127248,"CLASS2",6,1341
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_6.graph",1,0.12205674593831,0.100806451612903,0.0711354671650796,"CLASS2",6,1331
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_6.graph",1,0.0655168354132329,0.0443548387096773,0.0416042455248817,"CLASS2",6,1321
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_6.graph",1,0.0035171886037203,0.00806451612903225,0.0036259653377548,"CLASS2",6,1301
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_6.graph",1,0.00338474217094431,0.00806451612903225,0.00359206401134965,"CLASS2",6,1311
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_7.graph",1,0.0115230789404668,0.0162601626016261,0.00890609052393719,"CLASS2",7,1991
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_7.graph",1,0.146325072121689,0.108870967741935,0.090706669165041,"CLASS2",7,1981
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_7.graph",1,0.0667125622869134,0.0691056910569106,0.0390426519845285,"CLASS2",7,1971
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_7.graph",1,0.00265538945712074,0.00813008130081294,0.00320594706489119,"CLASS2",7,1951
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_7.graph",1,0.00263899816417523,0.00806451612903247,0.0037864103028408,"CLASS2",7,1961
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_8.graph",1,0.0117681159420291,0.0222222222222221,0.0113210576674793,"CLASS2",8,541
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_8.graph",1,0.15719806763285,0.111111111111111,0.097089541793812,"CLASS2",8,531
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_8.graph",1,0.0676328502415461,0.0521739130434782,0.0445402847119935,"CLASS2",8,521
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_8.graph",1,0.002376811594203,0.00869565217391322,0.00237165128355844,"CLASS2",8,501
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_8.graph",1,0.00285990338164255,0.00869565217391322,0.00298203858557074,"CLASS2",8,511
"IF-G","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph",1,0.0118319053447571,0.0186046511627906,0.00783420082550585,"CLASS2",9,141
"IF-L","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph",1,0.145838433292534,0.106976744186047,0.0894928868539166,"CLASS2",9,131
"SGS","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph",1,0.0712566299469602,0.069767441860465,0.0439366237397835,"CLASS2",9,121
"USGS-F","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph",1,0.00216238270093827,0.013157894736842,0.00282423744221271,"CLASS2",9,101
"USGS-PRE","CLASS2_50_1225_0_2_UNG_CEG_CONCWG_9.graph",1,0.00297837617299046,0.013157894736842,0.00357277740817124,"CLASS2",9,111
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_1.graph",1,0.030841541724592,0.0856269113149848,0.01759727178305,"CLASS3",1,1291
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_1.graph",1,0.0762892483185588,0.217125382262997,0.0694884565492376,"CLASS3",1,1281
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_1.graph",1,0.0451270226516349,0.107033639143731,0.0261616165289319,"CLASS3",1,1271
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_1.graph",1,0.00809877409320814,0.0183486238532109,0.00564083898378904,"CLASS3",1,1251
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_1.graph",1,0.013810043339618,0.0305810397553516,0.00815629505314247,"CLASS3",1,1261
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_10.graph",1,0.0297371001875401,0.0621118012422359,0.0149151629170515,"CLASS3",10,641
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_10.graph",1,0.0815092651537311,0.236024844720497,0.0654806924711004,"CLASS3",10,631
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_10.graph",1,0.0486330242081175,0.130434782608696,0.035485635095077,"CLASS3",10,621
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_10.graph",1,0.00960324151339431,0.0248447204968945,0.00579065769248392,"CLASS3",10,601
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_10.graph",1,0.0136878236781887,0.0248447204968945,0.00774796123282709,"CLASS3",10,611
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_2.graph",1,0.035254703147706,0.128834355828221,0.0194618910712699,"CLASS3",2,1791
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_2.graph",1,0.0948873611741266,0.266871165644172,0.0657503491167851,"CLASS3",2,1781
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_2.graph",1,0.060443914018372,0.180981595092025,0.0379919063035705,"CLASS3",2,1771
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_2.graph",1,0.00756350317926879,0.0153374233128833,0.00549756934102454,"CLASS3",2,1751
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_2.graph",1,0.0128411878037074,0.0552147239263803,0.00793832682787496,"CLASS3",2,1761
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_3.graph",1,0.0312243124360754,0.0792682926829269,0.0157510571122255,"CLASS3",3,1091
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_3.graph",1,0.087103980121355,0.246951219512195,0.0740217637977103,"CLASS3",3,1081
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_3.graph",1,0.0463003633123545,0.146341463414634,0.0298093585368679,"CLASS3",3,1071
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_3.graph",1,0.01304849812069,0.0205814252636993,0.00720105914485516,"CLASS3",3,1051
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_3.graph",1,0.0137497097893542,0.0335365853658536,0.00719678320935171,"CLASS3",3,1061
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_4.graph",1,0.0274013276494669,0.0584615384615386,0.0151007690855864,"CLASS3",4,1941
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_4.graph",1,0.10657080443681,0.313846153846154,0.081557047021826,"CLASS3",4,1931
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_4.graph",1,0.0464371911518314,0.0984615384615384,0.0254446381886827,"CLASS3",4,1921
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_4.graph",1,0.0111335920765203,0.0276923076923077,0.0062746809372604,"CLASS3",4,1901
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_4.graph",1,0.01287523064198,0.0338461538461539,0.00687261274887727,"CLASS3",4,1911
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_5.graph",1,0.0328421627741644,0.0766871165644172,0.019002453510301,"CLASS3",5,1391
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_5.graph",1,0.0730979620316489,0.193251533742331,0.0518909338391187,"CLASS3",5,1381
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_5.graph",1,0.0579884607282969,0.196319018404908,0.0447789860933634,"CLASS3",5,1371
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_5.graph",1,0.00953981147476224,0.0398773006134969,0.00604044745419164,"CLASS3",5,1351
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_5.graph",1,0.0148264501435,0.0398773006134969,0.00815107752971768,"CLASS3",5,1361
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_6.graph",1,0.0285656360351485,0.0648148148148149,0.018837041900949,"CLASS3",6,1891
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_6.graph",1,0.103042621335304,0.299382716049383,0.084694601952413,"CLASS3",6,1881
"SGS","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_6.graph",1,0.049435753195916,0.126543209876543,0.032656731982975,"CLASS3",6,1871
"USGS-F","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_6.graph",1,0.0114235170129481,0.0185185185185186,0.00639490151579347,"CLASS3",6,1851
"USGS-PRE","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_6.graph",1,0.0122738222331721,0.0401234567901234,0.00692197819923584,"CLASS3",6,1861
"IF-G","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_7.graph",1,0.0351678710029033,0.102484472049689,0.0203762665318317,"CLASS3",7,1491
"IF-L","CLASS3_50_1225_0_2_UNG_CEG_-0.95--CORWG_7.graph",1,0.0835680927636462,0.214285714285714,0.0662185045047349,"CLASS3",7,1481
