n p sigma.fun sigma repl USGS USGS-F USGS-PRE
100 1.0 "half" 50 1 0.0034073750002789893 0.0035453329996926186 0.00041450000026088674
100 1.0 "half" 50 2 0.0034387089999654563 0.00358245799998258 0.00040124999986801413
100 1.0 "half" 50 3 0.003436041999975714 0.0036221659997863753 0.00038387499989767093
100 1.0 "half" 50 4 0.0034911249999822758 0.0036382499997671403 0.0004006669996670098
100 1.0 "half" 50 5 0.003399333999823284 0.0035081669998362486 0.0004014169999209116
100 1.0 "half" 50 6 0.0034380000001874578 0.003559166999821173 0.000394125000184431
100 1.0 "half" 50 7 0.0034413340003993653 0.00357174999999188 0.0003754999997909181
100 1.0 "half" 50 8 0.0034314579997953842 0.0035665000000335567 0.0004086670001015591
100 1.0 "half" 50 9 0.0035325409999131807 0.0037642909996975504 0.00044312499994703103
100 1.0 "half" 50 10 0.003442291999817826 0.0035906250000152795 0.0004227919998811558
100 1.0 "half" 50 11 0.0034555420002106985 0.003537374999723397 0.0003954579997298424
100 1.0 "half" 50 12 0.003399540999907913 0.003516875000059372 0.00038237499984461465
100 1.0 "half" 50 13 0.003413584000099945 0.003573041999970883 0.0004403329999149719
100 1.0 "half" 50 14 0.0034832910000659467 0.003724250000232132 0.000440166999851499
100 1.0 "half" 50 15 0.00339716700000281 0.003544666999914625 0.0003903749998244166
100 1.0 "half" 50 16 0.0034278339999218588 0.003571875000034197 0.00039245899961315445
100 1.0 "half" 50 17 0.0034486250001464214 0.003557208000074752 0.00038579200008825865
100 1.0 "half" 50 18 0.003427541000291967 0.0035339169999133446 0.0003880409999510448
100 1.0 "half" 50 19 0.0034378339996692375 0.0036088339998059382 0.00038237499984461465
100 1.0 "half" 50 20 0.0034689170001911407 0.0035316250000505534 0.00040670799990039086
100 1.0 "half" 50 21 0.003433124999901338 0.003586624999570631 0.0004254999998920539
100 1.0 "half" 50 22 0.003414291999888519 0.003535457999987557 0.00039858399986769655
100 1.0 "half" 50 23 0.003475833000265993 0.0036161249995529943 0.0004392089999782911
100 1.0 "half" 50 24 0.0034494579999773123 0.0035752500002672605 0.00039879199994174996
100 1.0 "half" 50 25 0.003462040999693272 0.0035837079999510024 0.00038558300002478063
100 1.0 "half" 50 26 0.003421666999656736 0.0035080410002592544 0.0004564590003610647
100 1.0 "half" 50 27 0.0034224999999423744 0.003587124999739899 0.00038025000003472087
100 1.0 "half" 50 28 0.003429124999911437 0.003554791999704321 0.00042291699992347276
100 1.0 "half" 50 29 0.00341104200015252 0.0035205420003876498 0.0004074590001437173
100 1.0 "half" 50 30 0.0034322919996156998 0.003504249999878084 0.00039062499990905053
200 1.0 "log" 6 1 0.014236957999855804 0.004771333000007871 0.0010183340000367025
200 1.0 "log" 6 2 0.014243458999771974 0.004064499999913096 0.0011128750002171728
200 1.0 "log" 6 3 0.014217124999959196 0.007924000000002707 0.001024667000365298
200 1.0 "log" 6 4 0.01423766700008855 0.010612207999656675 0.0010861669998121215
200 1.0 "log" 6 5 0.014201750000211177 0.003104291999989073 0.0011392090000299504
200 1.0 "log" 6 6 0.014341790999878867 0.00984879199995703 0.0010959169999296137
200 1.0 "log" 6 7 0.014241957999729493 0.010132375000011962 0.001063999999587395
200 1.0 "log" 6 8 0.01423304099989764 0.006524875000195607 0.0010207499999523861
200 1.0 "log" 6 9 0.014164707999952952 0.0019458749998193525 0.001003374999982043
200 1.0 "log" 6 10 0.014225124999938998 0.008703790999788907 0.0010149579998142144
200 1.0 "log" 6 11 0.014244667000184563 0.007649500000297849 0.0010425830000713177
200 1.0 "log" 6 12 0.014298124999641004 0.010301499999968655 0.0010269159997733368
200 1.0 "log" 6 13 0.014200666999840905 0.0043237919999228325 0.0010534999996707484
200 1.0 "log" 6 14 0.014326459000130853 0.00845658399975946 0.001097542000024987
200 1.0 "log" 6 15 0.014180625000335567 0.0033023750002030283 0.0011334579999129346
200 1.0 "log" 6 16 0.014162499999656575 0.010255500000312168 0.0010793750002449087
200 1.0 "log" 6 17 0.01431166599968492 0.008579791000101977 0.0011216660000172851
200 1.0 "log" 6 18 0.014207958000042709 0.003541665999819088 0.0010257909998472314
200 1.0 "log" 6 19 0.014446375000261469 0.005623166000077617 0.0015583750000587315
200 1.0 "log" 6 20 0.014707875000112836 0.005496583999956783 0.0011371659998076211
200 1.0 "log" 6 21 0.014266457999838167 0.006636750000325264 0.0011174999999639113
200 1.0 "log" 6 22 0.015308832999835431 0.00393808299986631 0.0010892080003941373
200 1.0 "log" 6 23 0.015287500000340515 0.006732041000304889 0.001221209000050294
200 1.0 "log" 6 24 0.015771125000355823 0.00926049999998213 0.0011281669999334554
200 1.0 "log" 6 25 0.014385707999736042 0.01001837500007241 0.0011782910000874836
200 1.0 "log" 6 26 0.014400916999875335 0.01040179099982197 0.001021125000079337
200 1.0 "log" 6 27 0.014330041999983223 0.00549716699970304 0.0011363339999661548
200 1.0 "log" 6 28 0.01451145800001541 0.005230166999808716 0.0011152910001328564
200 1.0 "log" 6 29 0.014268957999775012 0.004947625000113476 0.0011051670003325853
200 1.0 "log" 6 30 0.014399707999928069 0.006648957999914273 0.0011336669999764126
200 1.0 "sqrt" 15 1 0.01472025000020949 0.012974292000308196 0.0011468749999039574
200 1.0 "sqrt" 15 2 0.014294624999820371 0.011124624999865773 0.001190667000173562
200 1.0 "sqrt" 15 3 0.01439699999991717 0.01319275000014386 0.001115292000122281
200 1.0 "sqrt" 15 4 0.014404042000023765 0.012179750000086642 0.001148125000327127
200 1.0 "sqrt" 15 5 0.01422779199992874 0.007291291000001365 0.0011624589997154544
200 1.0 "sqrt" 15 6 0.014320166999823414 0.012547124999855441 0.0010980000001836743
200 1.0 "sqrt" 15 7 0.014242042000205402 0.011579707999771927 0.0011400829998819972
200 1.0 "sqrt" 15 8 0.014255250000132946 0.011178208999808703 0.0011489999997138511
200 1.0 "sqrt" 15 9 0.01437583300003098 0.008759457999985898 0.00112358399974255
200 1.0 "sqrt" 15 10 0.014595957999972597 0.011720457999672362 0.0011439590002737532
200 1.0 "sqrt" 15 11 0.014570499999990716 0.01022129099965241 0.0011462920001577004
200 1.0 "sqrt" 15 12 0.014437207999890234 0.011227999999846361 0.0011169170002176543
200 1.0 "sqrt" 15 13 0.014435292000143818 0.00841812500038941 0.001152958000147919
200 1.0 "sqrt" 15 14 0.014549999999871943 0.012694125000052736 0.0011084160000791599
200 1.0 "sqrt" 15 15 0.014453249999860418 0.008633334000023751 0.00113570899975457
200 1.0 "sqrt" 15 16 0.014228042000013374 0.012620625000181462 0.001134457999796723
200 1.0 "sqrt" 15 17 0.014402416999928391 0.011156542000207992 0.00113804100010384
200 1.0 "sqrt" 15 18 0.01427804200011451 0.011607625000124244 0.0010751249997156265
200 1.0 "sqrt" 15 19 0.01425420799978383 0.012588291999691137 0.0011507080002957082
200 1.0 "sqrt" 15 20 0.014316874999622087 0.011306667000098969 0.0011136670000269078
200 1.0 "sqrt" 15 21 0.014383500000349159 0.012165999999979249 0.001112375000047905
200 1.0 "sqrt" 15 22 0.01424883299978319 0.010202166999988549 0.001148583000031067
200 1.0 "sqrt" 15 23 0.01421687500032931 0.009291750000102184 0.0011178340000697062
