n sigmafrac sigma repl runtime
300 0.3 13455 13 0.022190791001776233
300 0.3 13455 14 0.0202602079953067
300 0.3 13455 15 0.023100000005797483
300 0.3 13455 16 0.022369707992766052
300 0.3 13455 17 0.020061916002305225
300 0.3 13455 18 0.01945016700483393
300 0.3 13455 19 0.019315375000587665
300 0.3 13455 20 0.019216375003452413
300 0.3 13455 21 0.019068542009335943
300 0.3 13455 22 0.02057129199965857
300 0.3 13455 23 0.020250000001396984
300 0.3 13455 24 0.01935833299648948
300 0.3 13455 25 0.019503457995597273
300 0.3 13455 26 0.019039874998270534
300 0.3 13455 27 0.02011262498854194
300 0.3 13455 28 0.01941587499459274
300 0.3 13455 29 0.019561624998459592
300 0.3 13455 30 0.019186375007848255
300 0.4 17940 1 0.024764834000961855
300 0.4 17940 2 0.02482008299557492
