n sigma.fun sigma repl SGSECJ SGSI SGS
200 "logsquared" 59 18 0.002715457999784121 0.0026652920000742597 0.001881542000319314
200 "logsquared" 59 19 0.0026975409996339295 0.002612582999972801 0.0018456249999871943
200 "logsquared" 59 20 0.002689832999749342 0.0026347500001975277 0.0018722079998951813
200 "logsquared" 59 21 0.002715375000207132 0.002645540999765217 0.0018534159999035182
200 "logsquared" 59 22 0.0026915409998764517 0.002649042000030022 0.0018379579996690154
200 "logsquared" 59 23 0.0027296250000290456 0.0026596669999889855 0.0019177499998477288
200 "logsquared" 59 24 0.002677291000054538 0.0025819580000643327 0.0018528750001678418
200 "logsquared" 59 25 0.002660334000211151 0.0026287499999853026 0.0018579170000521117
200 "logsquared" 59 26 0.0026579999998830317 0.0026153750000048603 0.0018199579999418347
200 "logsquared" 59 27 0.0026644170002327883 0.0026283749998583517 0.001874207999662758
200 "logsquared" 59 28 0.0026797499999702268 0.0026272089999110904 0.0018519590003052144
200 "logsquared" 59 29 0.0026935830001093564 0.002581125000233442 0.0018937919999189035
200 "logsquared" 59 30 0.0026850829999602865 0.002573666999978741 0.0018815830003404699
200 "half" 100 1 0.006921916999999667 0.006769042000087211 0.00456483300013133
200 "half" 100 2 0.006841209000413073 0.0067155000001548615 0.0045112090001566685
200 "half" 100 3 0.006836083000052895 0.006903791999775422 0.004623000000265165
200 "half" 100 4 0.006888083999911032 0.006760917000065092 0.004540124999948603
200 "half" 100 5 0.0069207080000524 0.006745542000317073 0.0045335830000112765
200 "half" 100 6 0.006897791000028519 0.0067954169999211445 0.00455462499985515
200 "half" 100 7 0.006905791999997746 0.006823708999945666 0.0045840410002711
200 "half" 100 8 0.006850124999800755 0.006739874999766471 0.004561291999834793
200 "half" 100 9 0.006861374999971304 0.006713082999795006 0.004509374999997817
200 "half" 100 10 0.006833458000073733 0.006822457999987819 0.004502040999796009
200 "half" 100 11 0.006991666999965673 0.006733833999987837 0.004589832999954524
200 "half" 100 12 0.006929541999852518 0.006699916999878042 0.004493916999763314
200 "half" 100 13 0.006739917000231799 0.006675874999928055 0.0046950840001045435
200 "half" 100 14 0.006971292000343965 0.006987249999838241 0.004513542000040616
200 "half" 100 15 0.006891832999826875 0.006778333000056591 0.004644665999876452
200 "half" 100 16 0.0068922079999538255 0.006864291999590932 0.0044919580000168935
200 "half" 100 17 0.0068576660000871925 0.006742541999756213 0.004574750000301719
200 "half" 100 18 0.006834290999904624 0.0068138749998070125 0.004531957999915903
200 "half" 100 19 0.0068618750001405715 0.006749790999947436 0.004588041999795678
200 "half" 100 20 0.0068085420002717 0.00670629199976247 0.004492332999689097
200 "half" 100 21 0.006856708000213985 0.0067411660002107965 0.004508749999786232
200 "half" 100 22 0.006803624999975 0.006665875000180677 0.004484792000312154
200 "half" 100 23 0.006822415999977238 0.006703417000153422 0.0045309579995773674
200 "half" 100 24 0.006818792000103713 0.006705125000280532 0.00452670799995758
200 "half" 100 25 0.006838124999831052 0.0067191250000178115 0.004530708000402228
200 "half" 100 26 0.00677891700024702 0.006762375000107568 0.00448229200037531
200 "half" 100 27 0.006755207999958657 0.0066776250000657456 0.0045002499996371625
200 "half" 100 28 0.0067756670000562735 0.006693959000131144 0.00447770800019498
200 "half" 100 29 0.006806542000049376 0.006795832999614504 0.004544417000033718
200 "half" 100 30 0.006771750000098109 0.006669500000043627 0.0045004999997217965
300 "log" 6 1 0.0003090420000262384 0.00021941599970887182 0.0003442919996814453
300 "log" 6 2 0.00032245900001726113 0.00023270900010174955 0.0003318750000289583
300 "log" 6 3 0.00033804200029408094 0.00023575000022901804 0.0003332500000396976
300 "log" 6 4 0.0003293330000815331 0.00023925000004965113 0.0003331660000185366
300 "log" 6 5 0.00032654100004947395 0.00023695800018685986 0.00034616700031619985
300 "log" 6 6 0.0003264590000071621 0.00023420800016538124 0.0003374170000824961
300 "log" 6 7 0.0003206669998689904 0.0002312500000698492 0.00033279099989158567
300 "log" 6 8 0.0003255000001445296 0.00023699999974269303 0.0003346249995956896
300 "log" 6 9 0.0003213750001123117 0.00022904199977347162 0.0003287499998805288
300 "log" 6 10 0.00031879200014373055 0.00023054100029185065 0.0003306670000711165
300 "log" 6 11 0.00031924999984767055 0.00022570900000573602 0.0003314579998914269
300 "log" 6 12 0.00031475000014324905 0.0002243339999949967 0.0003349580001668073
300 "log" 6 13 0.00031779100027051754 0.00023504099999627215 0.0003326249998281128
300 "log" 6 14 0.000321958000313316 0.0002370420002080209 0.0003404169997338613
300 "log" 6 15 0.00031829099998503807 0.0002460840000821918 0.00032733399984863354
300 "log" 6 16 0.00031537499990008655 0.00023370799999611336 0.00032958300016616704
300 "log" 6 17 0.00032312499979525455 0.0002316250001968001 0.0003359170000294398
300 "log" 6 18 0.00031745900014357176 0.0002401659999122785 0.0003287919998911093
300 "log" 6 19 0.0003273340003033809 0.00023958300016602152 0.00034149999964938615
300 "log" 6 20 0.00032266700009131455 0.0002356670001972816 0.0003403330001674476
300 "log" 6 21 0.0003200420001121529 0.00023316699980568956 0.00033279199988101027
300 "log" 6 22 0.00031912500026010093 0.0002319169998372672 0.0003339999998388521
300 "log" 6 23 0.00032558400016569067 0.00023712499978501 0.0003381250003258174
300 "log" 6 24 0.0003179160003128345 0.00023112500002753222 0.0003277090004303318
300 "log" 6 25 0.0003160000001116714 0.00022741699967809836 0.00032741699988037
300 "log" 6 26 0.0003227910001442069 0.00023770899997543893 0.00033891700013555237
300 "log" 6 27 0.0003246250003030582 0.00023575000022901804 0.0003372920000401791
300 "log" 6 28 0.00032287500016536796 0.00023283300015464192 0.00033462500005043694
300 "log" 6 29 0.0003198340000380995 0.00022674999991068034 0.00032758400038801483
300 "log" 6 30 0.00031824999996388215 0.0002349579999645357 0.0003324999997857958
300 "sqrt" 18 1 0.0006486249999397842 0.0005408750002970919 0.0005662920002578176
300 "sqrt" 18 2 0.0006586249996871629 0.0005468330000439892 0.0005720829999518173
300 "sqrt" 18 3 0.0006716249999954016 0.0005489999998644635 0.0006303750001279695
300 "sqrt" 18 4 0.0006505409996861999 0.0005620840001938632 0.0005655840000144963
300 "sqrt" 18 5 0.0006542500000250584 0.0005488750002768938 0.000574832999973296
300 "sqrt" 18 6 0.0006536249998134736 0.0005347080000319693 0.0005620420001832827
300 "sqrt" 18 7 0.0006387079997693945 0.0005309160001161217 0.0005620000001727021
300 "sqrt" 18 8 0.0006595840000045428 0.000555999999960477 0.000570707999941078
